tract,metric,method,big40_idp_number,icvf_idp_number,download_url,gwas_sample_size
Body_of_corpus_callosum,FA,TBSS,1617,1905,https://open.win.ox.ac.uk/ukbiobank/big40/release2/stats33k/1617.txt.gz,33224
Body_of_corpus_callosum,MD,TBSS,1665,1905,https://open.win.ox.ac.uk/ukbiobank/big40/release2/stats33k/1665.txt.gz,33224
Body_of_corpus_callosum,ISOVF,TBSS,1953,1905,https://open.win.ox.ac.uk/ukbiobank/big40/release2/stats33k/1953.txt.gz,33224
Body_of_corpus_callosum,OD,TBSS,2001,1905,https://open.win.ox.ac.uk/ukbiobank/big40/release2/stats33k/2001.txt.gz,33224
Cerebral_peduncle_R,FA,TBSS,1628,1916,https://open.win.ox.ac.uk/ukbiobank/big40/release2/stats33k/1628.txt.gz,33224
Cerebral_peduncle_R,MD,TBSS,1676,1916,https://open.win.ox.ac.uk/ukbiobank/big40/release2/stats33k/1676.txt.gz,33224
Cerebral_peduncle_R,ISOVF,TBSS,1964,1916,https://open.win.ox.ac.uk/ukbiobank/big40/release2/stats33k/1964.txt.gz,33224
Cerebral_peduncle_R,OD,TBSS,2012,1916,https://open.win.ox.ac.uk/ukbiobank/big40/release2/stats33k/2012.txt.gz,33224
Cingulum_cingulate_gyrus_L,FA,TBSS,1649,1937,https://open.win.ox.ac.uk/ukbiobank/big40/release2/stats33k/1649.txt.gz,33224
Cingulum_cingulate_gyrus_L,MD,TBSS,1697,1937,https://open.win.ox.ac.uk/ukbiobank/big40/release2/stats33k/1697.txt.gz,33224
Cingulum_cingulate_gyrus_L,ISOVF,TBSS,1985,1937,https://open.win.ox.ac.uk/ukbiobank/big40/release2/stats33k/1985.txt.gz,33224
Cingulum_cingulate_gyrus_L,OD,TBSS,2033,1937,https://open.win.ox.ac.uk/ukbiobank/big40/release2/stats33k/2033.txt.gz,33224
Cingulum_cingulate_gyrus_R,FA,TBSS,1648,1936,https://open.win.ox.ac.uk/ukbiobank/big40/release2/stats33k/1648.txt.gz,33224
Cingulum_cingulate_gyrus_R,MD,TBSS,1696,1936,https://open.win.ox.ac.uk/ukbiobank/big40/release2/stats33k/1696.txt.gz,33224
Cingulum_cingulate_gyrus_R,ISOVF,TBSS,1984,1936,https://open.win.ox.ac.uk/ukbiobank/big40/release2/stats33k/1984.txt.gz,33224
Cingulum_cingulate_gyrus_R,OD,TBSS,2032,1936,https://open.win.ox.ac.uk/ukbiobank/big40/release2/stats33k/2032.txt.gz,33224
Cingulum_hippocampus_L,FA,TBSS,1651,1939,https://open.win.ox.ac.uk/ukbiobank/big40/release2/stats33k/1651.txt.gz,33224
Cingulum_hippocampus_L,MD,TBSS,1699,1939,https://open.win.ox.ac.uk/ukbiobank/big40/release2/stats33k/1699.txt.gz,33224
Cingulum_hippocampus_L,ISOVF,TBSS,1987,1939,https://open.win.ox.ac.uk/ukbiobank/big40/release2/stats33k/1987.txt.gz,33224
Cingulum_hippocampus_L,OD,TBSS,2035,1939,https://open.win.ox.ac.uk/ukbiobank/big40/release2/stats33k/2035.txt.gz,33224
Cingulum_hippocampus_R,FA,TBSS,1650,1938,https://open.win.ox.ac.uk/ukbiobank/big40/release2/stats33k/1650.txt.gz,33224
Cingulum_hippocampus_R,MD,TBSS,1698,1938,https://open.win.ox.ac.uk/ukbiobank/big40/release2/stats33k/1698.txt.gz,33224
Cingulum_hippocampus_R,ISOVF,TBSS,1986,1938,https://open.win.ox.ac.uk/ukbiobank/big40/release2/stats33k/1986.txt.gz,33224
Cingulum_hippocampus_R,OD,TBSS,2034,1938,https://open.win.ox.ac.uk/ukbiobank/big40/release2/stats33k/2034.txt.gz,33224
Genu_of_corpus_callosum,FA,TBSS,1616,1904,https://open.win.ox.ac.uk/ukbiobank/big40/release2/stats33k/1616.txt.gz,33224
Genu_of_corpus_callosum,MD,TBSS,1664,1904,https://open.win.ox.ac.uk/ukbiobank/big40/release2/stats33k/1664.txt.gz,33224
Genu_of_corpus_callosum,ISOVF,TBSS,1952,1904,https://open.win.ox.ac.uk/ukbiobank/big40/release2/stats33k/1952.txt.gz,33224
Genu_of_corpus_callosum,OD,TBSS,2000,1904,https://open.win.ox.ac.uk/ukbiobank/big40/release2/stats33k/2000.txt.gz,33224
Middle_cerebellar_peduncle,FA,TBSS,1614,1902,https://open.win.ox.ac.uk/ukbiobank/big40/release2/stats33k/1614.txt.gz,33224
Middle_cerebellar_peduncle,MD,TBSS,1662,1902,https://open.win.ox.ac.uk/ukbiobank/big40/release2/stats33k/1662.txt.gz,33224
Middle_cerebellar_peduncle,ISOVF,TBSS,1950,1902,https://open.win.ox.ac.uk/ukbiobank/big40/release2/stats33k/1950.txt.gz,33224
Middle_cerebellar_peduncle,OD,TBSS,1998,1902,https://open.win.ox.ac.uk/ukbiobank/big40/release2/stats33k/1998.txt.gz,33224
Posterior_limb_of_internal_capsule_L,FA,TBSS,1633,1921,https://open.win.ox.ac.uk/ukbiobank/big40/release2/stats33k/1633.txt.gz,33224
Posterior_limb_of_internal_capsule_L,MD,TBSS,1681,1921,https://open.win.ox.ac.uk/ukbiobank/big40/release2/stats33k/1681.txt.gz,33224
Posterior_limb_of_internal_capsule_L,ISOVF,TBSS,1969,1921,https://open.win.ox.ac.uk/ukbiobank/big40/release2/stats33k/1969.txt.gz,33224
